薿	艹疑ノㄋ丶丶
姘	女䒑一ノ丨丨
嫫	女莫一丨丶丶
媸	女蚩ㄋ丨丶丶
娘	女良丶ㄋ丶丶
媒	女甘一丨丶丶
娟	女口丨ㄋ一一
娱	女口一一丶丶
娲	女呙丨ㄋ丶丶
嫜	女音一丨丨丨
妖	女夭ノ一丶丶
妊	女壬ノ一一一
姑	女古一丨一一
妓	女十ㄋ丶丶丶
婚	女氏丨ㄋ一一
始	女台ㄋ丶一一
嫘	女田ㄋㄋ丶丶
娉	女由一ㄋㄋㄋ
嫌	女兼丶ノ丶丶
妯	女由丨ㄋ一一
妤	女予ㄋ丶丨丨
絮	女口ㄋㄋ丶丶
砮	奴石一ノ一一
㛚	女甬ㄋ丶丨丨
妭	女ㄋ丶丶丶
姤	女丨ㄋ一一
姶	女合ノ丶一一
姽	女厃ㄋㄋㄋㄋ
婍	女大一丨丨丨
婤	女冂一丨一一
婫	女日一ㄋㄋㄋ
媂	女帝丨ㄋ丨丨
媓	女白一一一一
媖	女艹丨ㄋ丶丶
媞	女是丨ㄋ丶丶
嫪	女羽ノ丶ノノ
嫽	女尞一ノ丶丶
嬥	女羽ノ丨一一
嬬	女雨一ノ丨丨
戕	爿戈一ㄋ丶丶
奘	爿士一ノ丶丶
爿	爿ㄋ丨ノノ
颇	皮页一ノ丶丶
皮	皮ㄋノ丶丶
辟	辟ㄋ一丨丨
避	辟辶丶ㄋ丶丶
臂	辟⺝丨ㄋ一一
襞	辟衣丶一丶丶
劈	辟刀ㄋノノノ
鐾	辟金ノ丶一一
檗	辟木一丨丶丶
嬖	辟女ㄋノ一一
擘	辟手ノ一丨丨
壁	辟土一丨一一
甓	辟瓦一ㄋ丶丶
璧	辟王丶丶丶丶
譬	辟言丶一一一
牖	片户一丨丶丶
版	片ㄋ丶丶丶
牍	片十ㄋ丶丶丶
牒	片世一丨丶丶
片	片ノ丨ㄋㄋ
牌	片卑ノ丨丨丨
胤	丿幺丨ㄋㄋㄋ
朱	丿未一一丶丶
延	丿止ㄋ丶丶丶
向	向口丨ㄋ一一
囟	囟㐅ノ丶丶丶
囱	囟夂ノㄋ丶丶
奥	向米一ノ丶丶
番	番ノ丶一一
悉	丿米丶ㄋ丶丶
入	入ノ丶丶丶
禹	禹ノ丨丶丶
乇	乇ノ一ㄋㄋ
邾	丿未ㄋ丨丨丨
翻	番羽ㄋ丶一一
鄱	番阝ㄋ丨丨丨
释	丿米ㄋ丶丨丨
衅	丿皿丶ノ丨丨
衄	丿皿ㄋ丨一一
釉	丿米丨ㄋ一一
粤	向米一ㄋㄋㄋ
睾	丿罒一丨一一
丢	丿去一丨丶丶
系	丿糸ㄋㄋ丶丶
升	丿廾一ノ丨丨
币	丿巾丨ㄋ丨丨
血	丿皿丨ㄋ一一
么	丿厶ㄋ丶丶丶
乏	丿之丶ㄋ丶丶
籴	入米丶ノ丶丶
汆	入水丨ㄋ丶丶
鹤	冖隹ノㄋ一一
鸩	冖儿ノㄋ一一
罕	冖八一一丨丨
农	农丶ㄋノノ
皲	冖车ㄋノ丶丶
郓	冖车ㄋ丨丨丨
冤	冖免丶丶丶丶
写	冖与一一一一
冠	冖元一丨丶丶
幂	冖日一ノ丨丨
军	冖车一ㄋ丨丨
冢	冖豕丶丶丶丶
冗	冖几ノㄋㄋㄋ
冥	冖日丶一丶丶
隺	冖隹ノ丨一一
平	平一丶丨丨
切	七刀ㄋノノノ
七	七一ㄋㄋㄋ
其	其一丨丶丶
甚	其乚ㄋㄋㄋㄋ
基	其土一丨一一
欺	其欠ノㄋ丶丶
斯	其斤ノノ丨丨
期	其月ノㄋ一一
斟	其乚丶丶丨丨
戡	其乚一ㄋ丶丶
勘	其乚ㄋノノノ
綦	其糸ㄋㄋ丶丶
惎	其心丶ㄋ丶丶
氤	气因丨ㄋ一一
氨	气宀ㄋノ一一
氦	气亥丶一丶丶
氢	气轻ㄋ丶一一
氯	气录ㄋ一丶丶
氰	气青一一一一
氛	气分ノ丶ノノ
氮	气炎丶ノ丶丶
氲	气日丨ㄋ一一
氡	气夂丶丶丶丶
氘	气ノ丨丨丨
氚	气川ノ丨丨丨
氟	气弓ノ丨丨丨
氖	气乃ㄋノノノ
氕	气丿ノノノノ
氙	气山丨ㄋ丨丨
氩	气亚一丨一一
氧	气羊丶ノ丨丨
气	气ノ一ㄋㄋ
钡	气贝丨ㄋ丶丶
氪	气古ノㄋㄋㄋ
迁	千辶丶ㄋ丶丶
千	千ノ一丨丨
乖	千北丨一ㄋㄋ
鸹	舌鸟ノㄋ一一
舔	舌天丨丶丶丶
辞	舌辛丶一丨丨
刮	舌刂丨丨丨丨
敌	舌攵ノ一丶丶
甜	舌甘一丨一一
舐	舌氏ノㄋㄋㄋ
乱	舌乚ㄋㄋㄋㄋ
歃	千臼ノㄋ丶丶
适	舌辶丶ㄋ丶丶
憩	舌自丶ㄋ丶丶
舌	舌ノ一一一
凵	凵ㄋ丨丨丨
出	出ㄋ丨丨丨
粜	出米丶ノ丶丶
祟	出示一一丶丶
䢺	出阝ㄋ丨丨丨
欠	欠ノㄋ丶丶
助	且力ㄋノノノ
雎	且隹ノ丨一一
且	且丨ㄋ一一
县	且厶ㄋ丶丶丶
悬	且厶丶ㄋ丶丶
静	青争ノㄋ丨丨
青	青一一一一
靓	青见丨ㄋㄋㄋ
靛	青定丶丶丶丶
䴖	青鸟ノㄋ一一
迳	轻辶丶ㄋ丶丶
巯	轻㐬丶一ㄋㄋ
刭	轻刂丨丨丨丨
劲	轻力ㄋノノノ
颈	轻页一ノ丶丶
邱	丘阝ㄋ丨丨丨
丘	丘ノ丨一一
兵	丘八ノ丶丶丶
乓	丘丶丶丶丶丶
乒	丘丿ノノノノ
岳	丘山丨ㄋ丨丨
曲	曲丨ㄋ一一
盍	去皿丨ㄋ一一
去	去一丨丶丶
却	去卩ㄋ丨丨丨
劫	去力ㄋノノノ
弆	去廾一ノ丨丨
犬	犬一ノ丶丶
飙	犬犬一ノ丶丶
从	从ノ丶丶丶
伞	人丷一丨丨丨
耸	从耳一丨一一
怂	从心丶ㄋ丶丶
丛	从一一一一一
会	人云一一丶丶
畲	人示丨ㄋ一一
介	人ノ丨丨丨
仑	人匕ノㄋㄋㄋ
全	人王一一一一
仓	仓ノ丶ㄋㄋ
企	人止丨一一一
人	人ノ丶丶丶
坐	从土一丨一一
氽	人水丨ㄋ丶丶
刽	人云丨丨丨丨
郐	人云ㄋ丨丨丨
俎	从且丨ㄋ一一
创	仓刂丨丨丨丨
戗	仓戈一ㄋ丶丶
禽	人㐫丨ㄋ丶丶
食	食ノ丶丶丶
仝	人工一丨一一
众	人从ノ丶丶丶
佘	人示一一丶丶
个	人丨丨丨丨丨
鸧	仓鸟ノㄋ一一
廷	壬廴ㄋ丶丶丶
壬	壬ノ一一一
颋	壬廴一ノ丶丶
暾	日享ノ一丶丶
晰	日木ノノ丨丨
昀	日勹丶一一一
晌	日向丨ㄋ一一
昵	日尸ノㄋㄋㄋ
曦	日ノ一丶丶
晓	日尧一ㄋㄋㄋ
晔	日华ノㄋㄋㄋ
曜	日羽ノ丨一一
晗	日今丨ㄋ一一
晾	日京丶一丶丶
暄	日㝉丨ㄋ一一
暧	日受一ノ丶丶
晦	日每ノ一丶丶
晚	日免ノㄋㄋㄋ
晴	日青一一一一
昭	日召ㄋノ一一
暗	日音丶一一一
晖	日冖一ㄋ丨丨
暝	日冖丨ㄋ丶丶
曝	日日一丨丶丶
曙	日罒一丨一一
暖	日爰ノ丶丶丶
时	日寸一丨丶丶
晡	日甫一丨丶丶
旰	日干一一丨丨
旷	日广丶一ノノ
暇	日叚ㄋ一丶丶
昕	日斤ノノ丨丨
旺	日王一一一一
昧	日未一一丶丶
曛	日千丨ㄋ丶丶
映	日央丨ㄋ丶丶
明	日月ノㄋ一一
昨	日乍ノ一一一
畅	日丨ㄋノノノ
匙	是匕ノㄋㄋㄋ
韪	是韦一一丨丨
题	是页一ノ丶丶
遢	日羽丶ㄋ丶丶
暹	日隹丶ㄋ丶丶
冕	日免ノㄋㄋㄋ
冒	日目丨ㄋ一一
煦	日句丶丶丶丶
照	日召丶丶丶丶
盟	日月丨ㄋ一一
量	旦里丨ㄋ一一
晨	日辰一ノ丶丶
曼	日罒ㄋ丶丶丶
日	日丨ㄋ一一
电	日乚ㄋㄋㄋㄋ
果	日木一丨丶丶
申	日丨丨丨丨丨
禺	禺丨ㄋ丶丶
曳	曳丨ㄋノノ
勖	日目ㄋノノノ
剔	日勿丨丨丨丨
影	日京ノノノノ
颢	日京一ノ丶丶
戥	日生一ㄋ丶丶
夥	日木ノㄋ丶丶
颗	日木一ノノノ
暌	日癸ㄋ丶丶丶
晤	日五丨ㄋ一一
晒	日西一丨一一
遇	禺辶丶ㄋ丶丶
昴	日卯ㄋ丨丨丨
昂	日ㄋ丨丨丨
昆	日比一ㄋㄋㄋ
最	日耳ㄋ丶丶丶
晶	日日丨ㄋ一一
易	日勿ノㄋノノ
晟	日戊ㄋㄋㄋㄋ
昃	日厂ノ丶丶丶
暑	日者一丨一一
晷	日夂丨丶丶丶
景	日京丶一丶丶
晃	日光丨丶ㄋㄋ
晏	日宀ㄋノ一一
曩	日襄丶一丶丶
昙	日云一一丶丶
昊	日天一一丶丶
暴	日共丨丶丶丶
是	是丨ㄋ丶丶
旱	日干一一丨丨
炅	日火丶ノ丶丶
旯	日九ノㄋㄋㄋ
昱	日立丶一一一
杲	日木一丨丶丶
晕	日冖一ㄋ丨丨
星	日生ノ一一一
显	日业丨丨一一
昌	日日丨ㄋ一一
晁	日儿丶一丶丶
愚	禺心丶ㄋ丶丶
颙	禺页一ノ丶丶
鹍	日比ノㄋ一一
旴	日于一一丨丨
旸	日汤ㄋノノノ
昈	日户丶ㄋノノ
昡	日亠ㄋㄋ丶丶
昣	日㐱ノ丶ノノ
昫	日句ノㄋ一一
昽	日龙一ノ丶丶
晊	日至一ㄋ一一
晐	日亥丶一丶丶
晞	日希ノ丶丨丨
曈	日立丨ㄋ一一
三	三一一一一
须	彡页一ノ丶丶
沤	氵区一ノㄋㄋ
溉	氵一ㄋㄋㄋ
泖	氵卯ㄋ丨丨丨
溺	氵弓丶一一一
测	氵贝丨丨丨丨
涮	氵尸丨ㄋ丨丨
澌	氵其ノノ丨丨
渤	氵孛ㄋ丨ノノ
激	氵白丶一丶丶
潞	氵ノㄋ一一
淑	氵上丨ノ丶丶
瀚	氵ノ丶一一
潮	氵ノㄋ一一
澎	氵壴ノノノノ
澉	氵敢ノ一丶丶
濒	氵止丨ノ丶丶
洌	氵歹丨丨丨丨
濮	氵亻丨丨一一
潴	氵犭一丨一一
淤	氵方ノ丶丶丶
漩	氵族ㄋ丨丶丶
游	氵族ㄋ丨一一
泓	氵弓ㄋ丶丶丶
涨	氵弓ノ一丶丶
潲	氵禾丨丶一一
湫	氵禾丶ノ丶丶
潍	氵纟ノ丨一一
淞	氵木ノ丶丶丶
淅	氵木ノノ丨丨
淋	氵林一丨丶丶
湘	氵相一丨一一
渺	氵目丨ノノノ
濉	氵目ノ丨一一
溯	氵屰ノㄋ一一
洳	氵女丨ㄋ一一
洙	氵丿一一丶丶
沏	氵七ㄋノノノ
漱	氵束ノㄋ丶丶
濑	氵束ノㄋ丶丶
浙	氵折一丨丨丨
浒	氵讠ノ一丨丨
淝	氵月ㄋ丨ㄋㄋ
泐	氵阝ㄋノノノ
湃	氵一一丨丨
汤	氵汤ㄋノノノ
淘	氵勹ノ一丨丨
洵	氵勹丨ㄋ一一
沟	氵勹ㄋ丶丶丶
泡	氵勹ㄋ一ㄋㄋ
沭	氵木丶丶丶丶
涎	氵丿丨一丶丶
涟	氵车丶ㄋ丶丶
溅	氵贝一一丶丶
汰	氵大丶丶丶丶
澜	氵门一丨丶丶
涧	氵门丨ㄋ一一
润	氵门一一一一
洞	氵冂丨ㄋ一一
溧	氵覀一丨丶丶
漂	氵覀一一丶丶
湮	氵覀一丨一一
沧	氵仓ノ丶ㄋㄋ
沙	氵小ノノノノ
洹	氵一丨ㄋ一一
沅	氵元一一ㄋㄋ
溲	氵臼丨ㄋ丶丶
泽	氵又一一丨丨
溻	氵日ㄋ丶一一
渴	氵曷丨ㄋㄋㄋ
温	氵日丨ㄋ一一
漫	氵日丨ㄋ丶丶
涅	氵日一丨一一
洧	氵丨ㄋ一一
淫	氵爫ノ一一一
滔	氵爫ノ丨一一
溪	氵爫ㄋㄋ丶丶
浮	氵爫ㄋ丨一一
洛	氵各ノㄋ一一
洚	氵夂一ㄋ丨丨
涤	氵夂一丨丶丶
涉	氵止丨ノノノ
濞	氵自丨ㄋ丨丨
溴	氵自一ノ丶丶
涌	氵甬ㄋ丶丨丨
渍	氵丨ㄋ丶丶
洪	氵共一丨丶丶
湔	氵前丶ノ丨丨
派	氵ノㄋ丶丶
渊	氵丶ノ丶丶
泊	氵白ノ丨一一
泌	氵必丶ㄋ丶丶
渐	氵车ノノ丨丨
浊	氵虫丨ㄋ丶丶
涿	氵豕丶丶丶丶
涕	氵弟丶ノノノ
洱	氵耳一丨一一
汇	氵匚一ㄋㄋㄋ
滟	氵丰ノㄋㄋㄋ
沣	氵丰一一丨丨
沛	氵一丨ㄋ丨丨
沸	氵弓ノ丨丨丨
浦	氵甫一丨丶丶
泔	氵甘一丨一一
汗	氵干一一丨丨
江	氵工一丨一一
沪	氵户丶ㄋノノ
汲	氵及ノㄋ丶丶
泺	氵丨ノ丶丶
泷	氵龙一ノ丶丶
沔	氵正ㄋㄋㄋㄋ
湎	氵丆丨ㄋ一一
泯	氵民ㄋ一ㄋㄋ
泳	氵永丶ㄋ丶丶
汩	氵囗一一一一
洮	氵儿丶一丶丶
渠	氵匚ㄋ一丶丶
烫	氵汤丶ノ丶丶
懑	氵艹一丨丶丶
裟	氵小ノ丶丶丶
鲨	氵小ノノ一一
娑	氵小ノㄋ一一
挲	氵小ノノ丨丨
粱	氵刀ノ丶丶丶
梁	氵刀ノ丶丶丶
染	氵九一丨丶丶
婆	氵皮ㄋノ一一
沲	氵ㄋ丨ㄋㄋ
渖	氵宀丨ㄋ丨丨
溆	氵余ㄋ丶丶丶
灏	氵日丶一丶丶
鸿	氵工ノㄋ一一
浏	氵文丨丨丨丨
潋	氵佥ノ一丶丶
湖	氵古ノㄋ一一
漪	氵犭一ノ丨丨
滁	氵阝ノ丶丶丶
河	氵可一丨丨丨
涸	氵囗一丨一一
洇	氵因丨ㄋ一一
洄	氵回丨ㄋ一一
泅	氵囗ノ丶丶丶
溷	氵囗一ノ丶丶
涠	氵囗一一丨丨
汊	氵又丶丶丶丶
泼	氵发ㄋノ丶丶
澹	氵厃ノ丶一一
涛	氵一丨丶丶
滹	氵虍ノ丶丨丨
滤	氵虍丶ㄋ丶丶
漉	氵鹿丶一ㄋㄋ
源	氵厂ノ丨丶丶
涯	氵厂一丨一一
沥	氵厂ㄋノノノ
渡	氵度ㄋ丶丶丶
溏	氵广ㄋ一一一
濂	氵广丶ノ丶丶
湄	氵丨ㄋ一一
渥	氵尸一ㄋ一一
潺	氵尸ㄋ丨一一
泥	氵尸ノㄋㄋㄋ
漏	氵尸一丨丶丶
涵	氵了丶一丨丨
汹	氵乂ㄋ丨丨丨
渗	氵叁ノノノノ
漕	氵曹一丨一一
滞	氵带一丨丨丨
溃	氵贵丨ㄋ丶丶
渚	氵者一丨一一
浴	氵谷ノ丶一一
淇	氵其一丨丶丶
浇	氵尧一ㄋㄋㄋ
滥	氵监丨ㄋ一一
溜	氵留丨ㄋ一一
瀣	氵⺊ノㄋ一一
潜	氵夫一一丶丶
潸	氵林丨ㄋ一一
漤	氵林ㄋノ一一
濯	氵羽ノ丨一一
涩	氵刀丶丶丶丶
溽	氵辰一丨丶丶
湛	氵其ㄋㄋㄋㄋ
澶	氵亠丨ㄋ一一
漓	氵㐫丨ㄋ丶丶
瀛	氵赢ㄋノ一一
湾	氵亦ㄋ一ㄋㄋ
滦	氵亦一丨丶丶
滴	氵啇丶一一一
滂	氵帝丶一ノノ
淳	氵享丶一一一
濠	氵亮一ノ丶丶
港	氵共ㄋ一ㄋㄋ
湓	氵分丨ㄋ一一
泠	氵令ノ丶丶丶
溶	氵宀ノ丶一一
滓	氵宀丶一丨丨
滨	氵宀ノ丨一一
渲	氵㝉丨ㄋ一一
浣	氵宀一一ㄋㄋ
演	氵㝉丨ㄋ丶丶
淀	氵定丶丶丶丶
沱	氵宀ノㄋㄋㄋ
泞	氵宀一丨丨丨
淙	氵宀一一丶丶
涫	氵宀丨ㄋ一一
液	氵夜丶一丶丶
滚	氵六ㄋ丶丶丶
沆	氵亠ノㄋㄋㄋ
澈	氵丨ㄋ丶丶
泫	氵玄丶一丶丶
浍	氵人一一丶丶
澡	氵口丨ㄋ丶丶
澳	氵向丶ノ丶丶
潘	氵番ノ丶一一
溘	氵去丨ㄋ一一
瀹	氵合丨ㄋ丨丨
渝	氵俞ノ丶丨丨
洽	氵合ノ丶一一
涂	氵余ノ丶丶丶
添	氵天丨丶丶丶
潦	氵尞一ノ丶丶
泾	氵轻ㄋ丶一一
滑	氵骨丨ㄋ一一
渌	氵录ㄋ一丶丶
溢	氵䒑ノ丶一一
流	氵㐬丶一ㄋㄋ
海	氵每ノ一丶丶
汽	氵气ノ一ㄋㄋ
汔	氵ㄋㄋㄋㄋ
浼	氵免ノㄋㄋㄋ
渔	氵鱼ノㄋ一一
涣	氵丨ㄋ丶丶
消	氵肖丨丶一一
淌	氵尚丨丶一一
清	氵青一一一一
洗	氵先ノ一ㄋㄋ
浩	氵告ノ一一一
溱	氵ノ一丶丶
滗	氵ノ一ㄋㄋ
漾	氵丶ㄋ丶丶
汾	氵分ノ丶ノノ
湟	氵白一一一一
沦	氵人ノㄋㄋㄋ
澄	氵登ㄋ丶一一
浈	氵⺊丨ㄋ丶丶
淖	氵卓丨一丨丨
泸	氵⺊ㄋ一ノノ
沾	氵占丨一一一
漠	氵莫一丨丶丶
满	氵艹一丨丶丶
潆	氵劳ㄋㄋ丶丶
涝	氵劳ㄋノノノ
滢	氵劳一一丶丶
漭	氵艹一ノ丶丶
潇	氵艹ㄋ一丶丶
灌	氵艹丨ㄋ一一
淄	氵巛丨ㄋ一一
漶	氵口丨ㄋ一一
淹	氵大丨ㄋㄋㄋ
沼	氵召ㄋノ一一
浪	氵良丶ㄋ丶丶
注	氵主丶一一一
汴	氵丶一丨丶丶
滠	氵耳ㄋ丶丶丶
污	氵亏一一ㄋㄋ
溥	氵甫一丨丶丶
滏	氵父一一一一
淡	氵炎丶ノ丶丶
沿	氵几丨ㄋ一一
没	氵殳ノㄋ丶丶
浔	氵彐一丨丶丶
浸	氵彐丶ㄋ丶丶
涓	氵口丨ㄋ一一
渑	氵口丨ㄋ一一
涡	氵呙丨ㄋ丶丶
浞	氵足丨ㄋ丶丶
漳	氵音一丨丨丨
潼	氵立丨ㄋ一一
涪	氵立丨ㄋ一一
瀵	氵米丨ㄋ丶丶
渣	氵木丨ㄋ一一
漆	氵木ノ丶丶丶
潢	氵丨ㄋ丶丶
沃	氵夭ノ一丶丶
洫	氵丿丨ㄋ一一
泛	氵丿丶ㄋ丶丶
深	氵冖ノ丶丶丶
泻	氵冖一一一一
浑	氵冖一ㄋ丨丨
沉	氵冖ノㄋㄋㄋ
溟	氵冖丶一丶丶
活	氵舌ノ一一一
浜	氵丘ノ丶丶丶
澧	氵曲一丨一一
混	氵日一ㄋㄋㄋ
瀑	氵日一丨丶丶
湿	氵日丨丨一一
涔	氵山ノ丶ㄋㄋ
湍	氵山一ノ丨丨
滇	氵直ノ丶丶丶
淬	氵卒丶一丨丨
沽	氵古一丨一一
渎	氵十ㄋ丶丶丶
洁	氵吉一丨一一
澍	氵壴一丨丶丶
渫	氵世一丨丶丶
浚	氵夋ㄋ丶丶丶
治	氵台ㄋ丶一一
渭	氵田丨ㄋ一一
漯	氵田ㄋㄋ丶丶
淠	氵畀丨ㄋ丨丨
法	氵去一丨丶丶
洼	氵圭一丨一一
济	氵文ノ丨丨丨
浠	氵希ノ丶丨丨
淆	氵㐅一ノ一一
浯	氵五丨ㄋ一一
潭	氵覀丨ㄋ丨丨
灞	氵雨一丨一一
濡	氵雨一ノ丨丨
滋	氵䒑ㄋㄋ丶丶
泮	氵半丶ノ丨丨
汀	氵丁一丨丨丨
浃	氵夹ノ丶丶丶
浅	氵戋一一丶丶
沂	氵斤ノノ丨丨
淦	氵金ノ丶一一
涞	氵夹丨ノ丶丶
泣	氵立丶一一一
沫	氵未一一丶丶
沐	氵木一丨丶丶
泪	氵目丨ㄋ一一
浓	氵农丶ㄋノノ
汝	氵女ㄋノ一一
波	氵皮ㄋノ丶丶
沮	氵且丨ㄋ一一
汨	氵日丨ㄋ一一
汕	氵山丨ㄋ丨丨
汁	氵十一丨丨丨
泄	氵世一丨ㄋㄋ
涑	氵束一丨丶丶
汜	氵巳ㄋ一ㄋㄋ
泗	氵四丨ㄋ一一
沌	氵屯一ㄋㄋㄋ
汪	氵王一一一一
沩	氵为丶ノ丶丶
汶	氵文丶一丶丶
汐	氵夕ノㄋ丶丶
洒	氵西一丨一一
沁	氵心丶ㄋ丶丶
汛	氵乙一丨丨丨
泱	氵央丨ㄋ丶丶
洋	氵羊丶ノ丨丨
池	氵也ㄋ丨ㄋㄋ
沈	氵冖ノㄋㄋㄋ
油	氵由丨ㄋ一一
酒	氵酉一丨一一
汉	氵又ㄋ丶丶丶
滩	氵又ノ丨一一
津	氵聿ㄋ一丨丨
洲	氵川丶丶丶丶
淮	氵隹ノ丨一一
洎	氵自ノ丨一一
鎏	氵㐬丶一ㄋㄋ
鋈	氵夭ノ丶一一
柒	氵七一丨丶丶
薢	氵角ㄋノ丨丨
汧	氵开一一丨丨
沨	氵风ノㄋ丶丶
泂	氵冂丨ㄋ一一
泃	氵句ノㄋ一一
泚	氵此丨一ㄋㄋ
洈	氵厃ㄋㄋㄋㄋ
湑	氵疋丨ㄋ一一
湜	氵是丨ㄋ丶丶
溍	氵亚丨ㄋ一一
滃	氵公ㄋ丶一一
滆	氵鬲一丨丨丨
漈	氵祭ノㄋ丶丶
漻	氵羽ノ丶ノノ
潏	氵矛丨ㄋ一一
澥	氵角ㄋノ丨丨
濩	氵艹ノ丨丶丶
瀌	氵鹿丶丶丶丶
瀼	氵襄丶一丶丶
嵋	山丨ㄋ一一
崛	山尸ㄋ丨丨丨
嵴	山ノ丶一一
峭	山肖丨丶一一
崂	山劳ㄋノノノ
嵘	山劳一丨丶丶
崦	山大丨ㄋㄋㄋ
嶙	山米ノㄋ丨丨
嵝	山米ㄋノ一一
岐	山十ㄋ丶丶丶
峻	山夋ㄋ丶丶丶
峙	山土一丨丶丶
崤	山㐅一ノ一一
崾	山覀ㄋノ一一
岍	山开一一丨丨
峄	山又一一丨丨
峰	山夂一一丨丨
嵊	山禾丨一ㄋㄋ
屺	山已ㄋ一ㄋㄋ
峡	山夹ノ丶丶丶
岬	山甲丨ㄋ丨丨
崃	山夹丨ノ丶丶
岷	山民ㄋ一ㄋㄋ
峨	山我ノ一丶丶
岈	山牙一ㄋノノ
峥	山争ノㄋ丨丨
山	山丨ㄋ丨丨
幽	山幺ㄋㄋ丶丶
豳	山豕一ノ丶丶
酆	山丰一一丨丨
觊	山己丨ㄋㄋㄋ
剀	山己丨丨丨丨
凯	山己ノㄋㄋㄋ
颛	山雨一ノ丶丶
刿	山夕丨丨丨丨
岖	山区一ノㄋㄋ
屿	山与一一一一
岣	山句ノㄋ一一
峋	山勹丨ㄋ一一
岘	山见丨ㄋㄋㄋ
峒	山冂丨ㄋ一一
嵯	山一丨一一
峪	山谷ノ丶一一
崆	山穴一丨一一
崞	山享丶一一一
岭	山令ノ丶丶丶
峤	山夭ノ丨丨丨
屹	山ㄋㄋㄋㄋ
嶝	山登ㄋ丶一一
崎	山大一丨丨丨
嶂	山音一丨丨丨
岵	山古一丨一一
嵫	山䒑ㄋㄋ丶丶
岫	山由丨ㄋ一一
遄	山而丶ㄋ丶丶
峁	山卯ㄋ丨丨丨
嶷	山疑ノㄋ丶丶
巍	山禾ㄋノ丶丶
巅	山直ノ丶丶丶
岿	山ㄋ一一一
崭	山车ノノ丨丨
嵌	山甘ノㄋ丶丶
崧	山木ノ丶丶丶
崩	山月ノㄋ一一
岢	山可一丨丨丨
崴	山戊一ㄋ一一
嵩	山高丶一一一
岚	山风ノㄋ丶丶
岗	山冈丨ㄋ丶丶
崮	山囗一丨一一
崖	山厂一丨一一
岸	山厂一一丨丨
炭	山丶ノ丶丶
岑	山今ノ丶ㄋㄋ
崇	山宀一一丶丶
嵛	山俞ノ丶丨丨
崽	山田丶ㄋ丶丶
岜	山巴ㄋ丨ㄋㄋ
岽	山东一ㄋ丶丶
嵬	山鬼ノ丨丶丶
岌	山及ノㄋ丶丶
岂	山己ㄋ一ㄋㄋ
岩	山石一ノ一一
岁	山夕ノㄋ丶丶
崔	山隹ノ丨一一
翙	山夕ㄋ丶一一
酅	山隹丨ㄋ丨丨
屼	山兀一ノㄋㄋ
岞	山乍ノ一一一
岠	山匚ㄋ一一一
峗	山厃ㄋㄋㄋㄋ
峿	山五丨ㄋ一一
崌	山尸一丨一一
崒	山卒丶一丨丨
崚	山土ノ丶丶丶
嵅	山咸一ノ丶丶
嵎	山禺丨ㄋ丶丶
嵖	山木丨ㄋ一一
嶍	山羽ノ丨一一
嶒	山曾丶ノ一一
嶓	山番ノ丶一一
嶦	山厃ノ丶一一
督	上小ㄋ丶一一
上	上丨一一一
叔	上小ㄋ丶丶丶
卡	上卜丨丶丶丶
忐	上心丶ㄋ丶丶
躯	身匚ノ丶丶丶
躺	身尚丨丶一一
躲	身几一丨丶丶
射	身寸一丨丶丶
躬	身弓ㄋ一ㄋㄋ
身	身ノ丨ノノ
甥	生田ㄋノノノ
生	生ノ一一一
眚	生目丨ㄋ一一
迟	尺辶丶ㄋ丶丶
昼	尺旦丨ㄋ一一
咫	尺口丨ㄋ丶丶
局	尸丨ㄋ一一
屁	尸比一ㄋㄋㄋ
履	尸彳ノ一丶丶
屦	尸彳丶ノ一一
屐	尸彳一丨丶丶
屣	尸彳丨一丶丶
犀	尸氺ノ一丨丨
屠	尸者一丨一一
屋	尸至一ㄋ一一
屑	尸肖丨丶一一
屏	尸䒑一ノ丨丨
层	尸云一一丶丶
屡	尸米ㄋノ一一
羼	尸羊丶ノ丨丨
孱	尸子ㄋ丨一一
尼	尸匕ノㄋㄋㄋ
屈	尸出ㄋ丨丨丨
尻	尸九ノㄋㄋㄋ
尾	尸毛ノ一ㄋㄋ
屎	尸米丶ノ丶丶
屉	尸世一丨ㄋㄋ
尿	尸水丨ㄋ丶丶
属	尸禹ノ丨丶丶
熨	尸示一丨丶丶
慰	尸示一丨丶丶
尺	尺ㄋ一丶丶
尸	尸ㄋ一ノノ
剧	尸古丨丨丨丨
刷	尸巾丨丨丨丨
尉	尸示一丨丶丶
殿	尸共ノㄋ丶丶
屙	尸阝一丨丨丨
展	尸ㄋノ丶丶
居	尸古一丨一一
届	尸由丨ㄋ一一
尽	尺⺀丶丶丶丶
螱	尸示一丨丶丶
屃	尸贝丨ㄋ丶丶
博	十甫一丨丶丶
协	十力ノ丶丶丶
裁	衣丶一丶丶
戴	田一丨丶丶
载	车一ㄋ丨丨
哉	口丨ㄋ一一
栽	木一丨丶丶
截	隹ノ丨一一
翅	十又ㄋ丶一一
丧	十䒑ㄋノ丶丶
赍	十从丶ㄋ丶丶
矗	直直一丨一一
贲	十艹丨ㄋ丶丶
孛	孛子ㄋ丨一一
十	十一丨丨丨
鹁	孛子ノㄋ一一
勃	孛子ㄋノノノ
献	十冂丶ノ丶丶
颠	直八一ノ丶丶
翰	人ㄋ丶一一
乾	ㄋㄋㄋㄋ
斡	人丶丶丨丨
